# 2026-09-08T20:43:18Z start
Filesystem      Size  Used Avail Use% Mounted on
/dev/vda1        59G   53G  4.2G  93% /
              total        used        free      shared  buff/cache   available
Mem:           7725        3959        1288         235        2477        3223
Swap:          4095         396        3699
deploy-control-app-1 14.47% 192.6MiB / 768MiB
deploy-otelcol-control-1 0.04% 29.19MiB / 384MiB
holmesgpt-am1 0.14% 343.9MiB / 1.5GiB
flagd-admin-am3 0.01% 14.76MiB / 64MiB
litellm-am3 0.11% 479.1MiB / 1.5GiB
deploy-notify-app-1 0.12% 175.7MiB / 384MiB
alert-arena-chaos-admin-1 0.06% 181.4MiB / 384MiB
alert-order-arena-1 0.56% 210.4MiB / 512MiB
prometheus-am0 0.23% 239.8MiB / 300MiB
deploy-postgres-1 0.76% 352MiB / 512MiB
alertmanager-am0 0.07% 12.44MiB / 7.545GiB
otel-collector 1.38% 127.2MiB / 400MiB
frontend-proxy 0.39% 21.52MiB / 90MiB
load-generator 0.52% 168.8MiB / 1.465GiB
frontend 0.26% 98.52MiB / 250MiB
recommendation 2.47% 41.5MiB / 500MiB
checkout 0.01% 13.52MiB / 20MiB
product-catalog 4.89% 18.6MiB / 20MiB
cart 0.21% 55.69MiB / 160MiB
shipping 0.04% 6.43MiB / 20MiB
ad 0.11% 255.8MiB / 300MiB
payment 0.43% 105.6MiB / 140MiB
flagd-ui 0.15% 143.4MiB / 200MiB
currency 1.97% 5.137MiB / 20MiB
quote 4.19% 24.03MiB / 40MiB
email 8.69% 76.57MiB / 100MiB
image-provider 2.23% 5.785MiB / 120MiB
astronomy-db 0.00% 55.98MiB / 80MiB
flagd 0.20% 34.82MiB / 75MiB
telemetry-docs 0.02% 5.543MiB / 100MiB
valkey-cart 0.11% 8.059MiB / 20MiB
echo-receiver 0.07% 213.2MiB / 7.545GiB
# 2026-09-08T20:43:34Z end
Filesystem      Size  Used Avail Use% Mounted on
/dev/vda1        59G   53G  4.2G  93% /
              total        used        free      shared  buff/cache   available
Mem:           7725        3953        1270         235        2502        3229
Swap:          4095         396        3699
deploy-control-app-1 0.44% 198.6MiB / 768MiB
deploy-otelcol-control-1 0.02% 29.19MiB / 384MiB
holmesgpt-am1 0.14% 343.9MiB / 1.5GiB
flagd-admin-am3 0.01% 14.76MiB / 64MiB
litellm-am3 0.15% 479.1MiB / 1.5GiB
deploy-notify-app-1 0.56% 175.9MiB / 384MiB
alert-arena-chaos-admin-1 0.07% 181.4MiB / 384MiB
alert-order-arena-1 0.41% 210.4MiB / 512MiB
prometheus-am0 0.19% 221.8MiB / 300MiB
deploy-postgres-1 2.38% 357.8MiB / 512MiB
alertmanager-am0 0.06% 12.44MiB / 7.545GiB
otel-collector 3.54% 131.9MiB / 400MiB
frontend-proxy 2.68% 21.52MiB / 90MiB
load-generator 0.04% 168.8MiB / 1.465GiB
frontend 0.32% 98.52MiB / 250MiB
recommendation 0.50% 41.5MiB / 500MiB
checkout 0.01% 13.27MiB / 20MiB
product-catalog 0.01% 18.11MiB / 20MiB
cart 0.18% 55.7MiB / 160MiB
shipping 2.18% 6.43MiB / 20MiB
ad 2.56% 255.8MiB / 300MiB
payment 54.81% 103MiB / 140MiB
flagd-ui 2.22% 143.4MiB / 200MiB
currency 0.03% 5.137MiB / 20MiB
quote 0.01% 24.03MiB / 40MiB
email 0.03% 76.59MiB / 100MiB
image-provider 0.07% 5.785MiB / 120MiB
astronomy-db 1.84% 56.02MiB / 80MiB
flagd 0.02% 34.82MiB / 75MiB
telemetry-docs 2.19% 5.543MiB / 100MiB
valkey-cart 2.39% 8.059MiB / 20MiB
echo-receiver 0.79% 213.2MiB / 7.545GiB
